keys,en,fi,fr
new game,New game,Uusi peli,Nouveau jeu
quit,Quit,Lopeta,Quitter
option,Options,Asetukset,Options
tutorial,Tutorial,Ohjeet,Tutorial
info,Information,Tietoja,Informations
about,ABOUT,Lisätietoja,A PROPOS
lvl_duration,Level duration (s),Pelin kesto (s),Duree du niveau (s)
fullscreen,Full screen,Koko näyttö,Plein ecran
return,Return,Paluu,Retour
victory,VICTORY,VOITTO,VICTOIRE
next,Next,Seuraava,Suivant
final_score,Final score: ,Pisteet:,Score final: 
main_menu,Main menu,Päävalikko,Menu principal
previous,Previous,Edellinen,Precedent
next_organelle,Next: Organelle,Seuraava: Organelli,Suivant: Organelle
previous_virus,Previous: Virus,Edellinen: Virus,Precedent: Virus
try_again,Try Again,Kokeile uudestaan,Essayer encore
continue,Continue,Jatka,Continue
sec_cell,Secretory cell,Solu,Cell secretrice
sec_cell_info,"Think of a secretory cell like a special worker inside your body. These cells have an important job: they make things and send them to the right places.\n\nImagine you have a factory in your body, and secretory cells are the workers in that factory. Each worker is in charge of making something different, like juice, toys, or even letters. Once they've made these things, they put them in tiny packages called vesicles.\n\nThese cells can produce a lot vesicles quickly.","Ajattele solun olevan erityinen työntekijä kehossasi. Näillä soluilla on tärkeä tehtävä: ne valmistavat asioita ja lähettävät ne oikeisiin paikkoihin.\n\nKuvittele, että sinulla on tehdas kehossasi, ja salaiset solut ovat tuon tehtaan työntekijöitä. Jokainen työntekijä vastaa eri asioiden valmistamisesta, kuten mehuista, leluista tai jopa kirjeistä. Kun he ovat valmistaneet nämä asiat, he laittavat ne pieniin pakkauksiin, joita kutsutaan rakkuloiksi.\n\nNämä solut voivat tuottaa paljon rakkuloita nopeasti.","Imaginez une cellule sécrétoire comme un travailleur spécial à l'intérieur de votre corps. Ces cellules ont une tâche importante : elles fabriquent des choses et les envoient aux bons endroits.\n\nImaginez que vous avez une usine dans votre corps, et les cellules sécrétoires sont les travailleurs de cette usine. Chaque travailleur est responsable de fabriquer quelque chose de différent, comme du jus, des jouets ou même des lettres. Une fois qu'ils ont fabriqué ces choses, ils les mettent dans de petits emballages appelés vésicules.\n\nCes cellules peuvent produire beaucoup de vésicules rapidement."
general info,Game Made in [b]Godot[/b] 4.1.1 by [b]Leclerc Simon[/b] at the University of Jyväskylä for the Researcher's Night 2023.\nArt made by researcher and their kids.\nSFX sound from freemusic.com or created for this game.,"Peli tehty käyttäen [b]Godot[/b] 4.1.1, tekijänä [b]Leclerc Simon[/b], Jyväskylän yliopistossa, Tutkijoiden Yö 2023:lle.\nTaide on luotu tutkijoiden ja heidän lastensa toimesta.\nÄäniraidat ovat peräisin freemusic.com-sivustolta tai on luotu tätä peliä varten.",Jeux fait en utilisant [b]Godot[/b] 4.1.1 par [b]Leclerc Simon[/b] à l'Université de Jyväskylä pour la Nuit des Chercheurs 2023.\nL'art a été créé par les chercheurs et leurs enfants.\nLes sons proviennent de freemusic.com ou ont été créés spécialement pour ce jeu.
tuto_txt,"[center][b]Tutorial[/b][/center]\n\n[b]The vesicle[/b]\nThey can be launched with a drag and click only when they are [color=RED]RED[/color]. Further you drag, quicker go the vesicle.\n\n\n\n\n\n\n\n[b]The Virus[/b]\nThe goal is to destroy ALL the incoming virus. If the virus enter the cell, you will hear it, and it will not give you points. If the virus touch the nucleus, it is GAME OVER.\nBe carefull of the virus BOSS, if he touches the cell outer membrane, this is GAME OVER.  It will require more than 1 hit to be down! And when this boss virus is stun, you cannot attack him! So unfair!","[center][b]Ohje[/b][/center]\n\n[b]Rakkula[/b]\nNiitä voidaan laukaista vetämällä ja napsauttamalla vain, kun ne ovat [color=RED]PUNAISIA[/color]. Mitä enemmän vedät, sitä nopeammin rakkula liikkuu.\n\n\n\n\n\n\n\n[b]Virus[/b]\nTavoitteena on tuhota KAIKKI saapuvat virukset. Jos virus pääsee soluun, kuulet sen, eikä se anna sinulle pisteitä. Jos virus koskettaa solun tumaa, peli päättyy.\nOle varovainen viruksen POMOA kohtaan; jos se koskettaa solun ulkokalvoa, peli päättyy. Siihen tarvitaan enemmän kuin yksi osuma kaataaksesi sen! Ja kun tämä pomo-virus on tainnutettu, et voi hyökätä sitä vastaan! Niin epäreilua!","[center][b]Tutoriel[/b][/center]\n\n[b]La Vésicule[/b]\nElles peuvent être lancées en faisant glisser et en cliquant seulement quand elles sont [color=RED]ROUGES[/color]. Plus vous faites glisser loin, plus la vésicule ira vite.\n\n\n\n\n\n\n\n[b]Le Virus[/b]\nL'objectif est de détruire TOUS les virus entrants. Si le virus pénètre dans la cellule, vous l'entendrez, et il ne vous donnera pas de points. Si le virus touche le noyau, c'est la FIN DE PARTIE.\nFaites attention au BOSS virus, s'il touche la membrane externe de la cellule, c'est la FIN DE PARTIE. Il faudra plus d'un coup pour le vaincre ! Et quand ce virus boss est étourdi, vous ne pouvez pas l'attaquer ! Trop injuste !"
